Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64ad7332e5e8774d19f53b7e,5ad5d62a27c301000101dd27,APPROVED,2023-07-11T15:20:20.630000Z,2023-07-11T15:25:41.257000Z,2023-07-12T10:01:14.145000,2023-07-11T15:25:41.760212Z,321,CM7LEZ00,20,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad734de75fadbbd1ce2cfa,601497848c19b34df1697f24,APPROVED,2023-07-11T15:20:50.309000Z,2023-07-11T15:28:52.252000Z,2023-07-12T10:01:14.286000,2023-07-11T15:28:52.928242Z,482,CM7LEZ00,258,27,Male,White,Poland,United Kingdom,Poland,Polish,No,Full-Time
64ad7357eb08826e97f7cd79,5ea0110e8df7fa0008956a0a,APPROVED,2023-07-11T15:21:00.182000Z,2023-07-11T15:27:01.002000Z,2023-07-12T10:01:14.409000,2023-07-11T15:27:01.463136Z,361,CM7LEZ00,1449,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad7368fb1c1b3939f5b30e,63dcf52406a122c6bdcd054c,APPROVED,2023-07-11T15:21:35.567000Z,2023-07-11T15:30:09.044000Z,2023-07-12T10:01:14.541000,2023-07-11T15:30:10.118109Z,514,CM7LEZ00,290,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64ad73879a792dacce12225f,5f75a669c9ebb3229be4a8db,APPROVED,2023-07-11T15:23:30.176000Z,2023-07-11T15:27:46.407000Z,2023-07-12T10:01:14.680000,2023-07-11T15:27:46.986073Z,257,CM7LEZ00,1496,71,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad73ace58958931ac19037,5cec19ae90bfb10018ab2f09,APPROVED,2023-07-11T15:22:23.611000Z,2023-07-11T15:25:16.321000Z,2023-07-12T10:01:14.808000,2023-07-11T15:25:16.902964Z,173,CM7LEZ00,646,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64ad73b17152ee845f542a42,61603594da220b1a4dbac2ec,APPROVED,2023-07-11T15:22:42.506000Z,2023-07-11T15:28:17.123000Z,2023-07-12T10:01:14.957000,2023-07-11T15:28:17.557345Z,335,CM7LEZ00,304,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad73b6a9599400574774b2,5cdc899d48d5f100195fafff,APPROVED,2023-07-11T15:22:34.206000Z,2023-07-11T15:28:03.878000Z,2023-07-12T10:01:15.086000,2023-07-11T15:28:04.982260Z,330,CM7LEZ00,1374,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
64ad73ff4ccfb7ec2c83ca6a,64137cf15dfe79e9ff198054,APPROVED,2023-07-11T15:23:47.535000Z,2023-07-11T15:29:27.034000Z,2023-07-12T10:01:15.221000,2023-07-11T15:29:27.581863Z,340,CM7LEZ00,209,19,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
64ad7412f9431dff4958b9d8,63469b33c8cdbd6d3067c28b,APPROVED,2023-07-11T15:24:10.762000Z,2023-07-11T15:31:11.130000Z,2023-07-12T10:01:15.374000,2023-07-11T15:31:11.644148Z,421,CM7LEZ00,546,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64ad741453d077ff09580e4e,5fa3f95e37e424055200c834,APPROVED,2023-07-11T15:24:04.361000Z,2023-07-11T15:29:28.642000Z,2023-07-12T10:01:15.517000,2023-07-11T15:29:30.868803Z,325,CM7LEZ00,1037,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad7414703256868f7e97c5,5edec2b3e095321650bddc22,APPROVED,2023-07-11T15:27:54.171000Z,2023-07-11T15:34:17.478000Z,2023-07-12T10:01:15.647000,2023-07-11T15:34:17.995718Z,384,CM7LEZ00,2204,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad742aeb707ee1729e64d1,5cd3c6d9440dcc000110f934,APPROVED,2023-07-11T15:24:31.961000Z,2023-07-11T15:31:18.091000Z,2023-07-12T10:01:15.774000,2023-07-11T15:31:18.558582Z,407,CM7LEZ00,726,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64ad748fce1d2d5064092e34,643c069c30e6ba111922f086,APPROVED,2023-07-11T15:26:31.364000Z,2023-07-11T15:31:49.193000Z,2023-07-12T10:01:15.907000,2023-07-11T15:31:49.917574Z,318,CM7LEZ00,189,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad74dae9420afe413d797c,63d37e4ea0985c4dc486ff8e,APPROVED,2023-07-11T15:27:33.294000Z,2023-07-11T15:33:06.181000Z,2023-07-12T10:01:16.035000,2023-07-11T15:33:06.700046Z,333,CM7LEZ00,180,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
64ad74fb81c8dfdfe7e9547b,5baa0fd76460a30001304884,APPROVED,2023-07-11T15:27:58.813000Z,2023-07-11T15:32:32.064000Z,2023-07-12T10:01:16.164000,2023-07-11T15:32:32.535091Z,274,CM7LEZ00,1627,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad74fed56dacd07394d8f5,5da74713c2a70a0015a1297b,APPROVED,2023-07-11T15:28:05.794000Z,2023-07-11T15:32:26.882000Z,2023-07-12T10:01:16.289000,2023-07-11T15:32:27.466305Z,262,CM7LEZ00,1420,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad75248dff64384dc19084,5caa178ffd086000016dd2d3,APPROVED,2023-07-11T15:28:57.115000Z,2023-07-11T15:32:21.850000Z,2023-07-12T10:01:16.420000,2023-07-11T15:32:22.323561Z,205,CM7LEZ00,1695,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad752ac70ef6b351dcf537,5c1575e62a407b0001ff2a4c,APPROVED,2023-07-11T15:28:47Z,2023-07-11T15:41:56.388000Z,2023-07-12T10:01:16.549000,2023-07-11T15:41:57.132450Z,790,CM7LEZ00,2382,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad75441ad9747a8ae9545c,5e8c8195ef455e000a625905,APPROVED,2023-07-11T15:29:11.305000Z,2023-07-11T15:35:20.429000Z,2023-07-12T10:01:16.673000,2023-07-11T15:35:22.360220Z,370,CM7LEZ00,557,34,Male,White,United Kingdom,United Kingdom,United Kingdom,Welsh,No,Full-Time
64ad756f4cd22dec3825f928,5b745e5224dc7900017e0d3e,APPROVED,2023-07-11T15:29:56.488000Z,2023-07-11T15:34:26.100000Z,2023-07-12T10:01:16.804000,2023-07-11T15:34:29.286019Z,270,CM7LEZ00,1057,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad75c2a88c8d85db17d2c1,62b3491fc3790d748d09dc12,APPROVED,2023-07-11T15:31:44.189000Z,2023-07-11T15:35:49.052000Z,2023-07-12T10:01:16.936000,2023-07-11T15:35:49.633406Z,245,CM7LEZ00,1123,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad75c9a77904edae17968d,64412826681d195f47939c7f,APPROVED,2023-07-11T15:31:25.386000Z,2023-07-11T15:37:10.398000Z,2023-07-12T10:01:17.092000,2023-07-11T15:37:10.948791Z,346,CM7LEZ00,161,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad75d20c89792584b17488,5e8df7e8ae7a8007d30505e1,APPROVED,2023-07-11T15:31:34.767000Z,2023-07-11T15:36:53.453000Z,2023-07-12T10:01:17.279000,2023-07-11T15:36:54.023776Z,319,CM7LEZ00,920,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad75d2196749828df53b4b,64610526db3f73f93d08710a,APPROVED,2023-07-11T15:31:35.951000Z,2023-07-11T15:45:07.700000Z,2023-07-12T10:01:17.664000,2023-07-11T15:45:10.133952Z,812,CM7LEZ00,31,34,Male,Other,Portugal,United Kingdom,Portugal,Portuguese,No,Full-Time
64ad76afdf34134c9906d44a,63d4315d46c8643186d488f7,APPROVED,2023-07-11T15:36:00.358000Z,2023-07-11T15:45:42.476000Z,2023-07-12T10:01:17.798000,2023-07-11T15:45:43.053730Z,583,CM7LEZ00,240,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
64ad76c297b74dc13f75529c,6350291dda5623a771dab2be,APPROVED,2023-07-11T15:35:37.690000Z,2023-07-11T15:38:29.293000Z,2023-07-12T10:01:17.945000,2023-07-11T15:38:29.779587Z,172,CM7LEZ00,189,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad7718b3c829471807fa30,5b55f0867c0c5e0001635ee3,APPROVED,2023-07-11T15:36:59.655000Z,2023-07-11T15:42:37.230000Z,2023-07-12T10:01:18.074000,2023-07-11T15:42:37.790030Z,338,CM7LEZ00,1016,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad773b986d3fcfe1bbaedc,6078661a148492f9436d8bb0,APPROVED,2023-07-11T15:37:37.285000Z,2023-07-11T15:42:50.300000Z,2023-07-12T10:01:18.216000,2023-07-11T15:42:50.742131Z,314,CM7LEZ00,891,63,Male,White,Gibraltar,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ad775a3e425a8544d1e1f1,63468af37b3dfa433e101723,APPROVED,2023-07-11T15:38:07.586000Z,2023-07-11T15:42:26.578000Z,2023-07-12T10:01:18.346000,2023-07-11T15:42:27.073339Z,259,CM7LEZ00,433,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64ad777eec771d945986b656,62dae78d1b3a661e64d8844b,APPROVED,2023-07-11T15:38:42.702000Z,2023-07-11T15:42:02.022000Z,2023-07-12T10:01:18.477000,2023-07-11T15:42:02.576375Z,200,CM7LEZ00,901,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad77f03e49c6afa37ed892,5fb7c605a2e58b3b446aa017,APPROVED,2023-07-11T15:40:37.482000Z,2023-07-11T15:46:19.933000Z,2023-07-12T10:01:18.618000,2023-07-11T15:46:20.612956Z,343,CM7LEZ00,487,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ad77fa2cef5125533cebeb,62c862b854735cb56e44ae1f,APPROVED,2023-07-11T15:41:33.561000Z,2023-07-11T15:45:07.367000Z,2023-07-12T10:01:18.754000,2023-07-11T15:45:07.775652Z,214,CM7LEZ00,159,48,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad7831f3451bd17807fa0c,60a8c222ec3534660f696daf,APPROVED,2023-07-11T15:41:41.856000Z,2023-07-11T15:45:01.082000Z,2023-07-12T10:01:18.879000,2023-07-11T15:45:05.184921Z,200,CM7LEZ00,820,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad784e51f7d2a3a596f1ac,5b472672d4c93b00019bbc49,APPROVED,2023-07-11T15:42:08.774000Z,2023-07-11T15:44:41.873000Z,2023-07-12T10:01:19.029000,2023-07-11T15:44:42.861773Z,154,CM7LEZ00,1351,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
